region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
Sub-Saharan Africa,Benin,BEN,102,4.883,8490301,0.393,0.437,0.397,0.349,0.175,0.082,1.63328,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.543,0.10635,0.08314,0.0779,-0.1355,-0.0076,0.0019
Middle East and Northern Africa,Jordan,JOR,101,4.906,5544066,0.837,1.225,0.815,0.383,0.11,0.13,1.87996,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,-0.286,-0.06498,0.17108,0.11861,-0.02361,-0.00053,-0.01293
Southern Asia,Nepal,NPL,100,4.913,27093656,0.446,1.226,0.677,0.439,0.285,0.089,1.95637,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,0.399,0.08603,0.36151,0.10826,0.05618,-0.03796,0.02993
Sub-Saharan Africa,Ivory Coast,CIV,99,4.944,,0.569,0.808,0.232,0.352,0.154,0.09,1.41723,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.289,0.10366,0.03685,0.08015,-0.11666,-0.04765,-0.08922
Sub-Saharan Africa,Ghana,GHA,98,4.996,2253501,0.611,0.868,0.486,0.381,0.245,0.04,2.30919,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,0.363,0.06542,0.18846,0.08468,-0.04242,0.01413,-0.00355
Central and Eastern Europe,Bulgaria,BGR,97,5.011,7744591,1.092,1.513,0.815,0.311,0.081,0.004,0.89991,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.793,0.07984,0.40686,0.04851,0.00513,-0.03821,-0.00472
Sub-Saharan Africa,Cameroon,CMR,96,5.044,17795149,0.549,0.91,0.331,0.381,0.187,0.037,1.95071,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,0.792,0.1265,0.02233,0.09698,-0.11209,-0.01918,-0.02086
Southern Asia,Bhutan,BTN,95,5.082,637013,0.813,1.321,0.604,0.457,0.37,0.167,1.63794,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,-0.171,0.04258,0.21705,0.02993,-0.07506,-0.10998,0.01255
Southeastern Asia,Vietnam,VNM,94,5.175,,0.741,1.346,0.851,0.543,0.147,0.073,2.20173,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,-0.185,0.10884,0.43374,0.10424,-0.05144,-0.0216,-0.03141
Eastern Asia,China,CHN,93,5.191,1312978855,1.029,1.125,0.893,0.521,0.058,0.1,1.8604,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,0.051,0.13888,0.17825,0.07642,0.00403,-0.02385,0.07219
Southeastern Asia,Indonesia,IDN,92,5.192,226063044,0.931,1.203,0.66,0.491,0.498,0.028,1.86399,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,-0.207,0.10273,0.11592,0.02207,0.02489,-0.01735,0.028
Middle East and Northern Africa,Lebanon,LBN,91,5.197,401074,0.987,1.224,0.815,0.216,0.166,0.027,1.57059,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,0.358,-0.03864,0.42399,-0.02447,-0.12316,-0.05254,-0.01882
Middle East and Northern Africa,Morocco,MAR,89,5.208,30494991,0.801,0.782,0.782,0.418,0.036,0.076,2.45373,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,0.195,0.06621,0.14105,0.17246,0.00109,-0.03572,-0.00946
Central and Eastern Europe,Azerbaijan,AZE,90,5.208,8352021,1.043,1.147,0.769,0.351,0.035,0.182,2.00073,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,-0.004,0.01911,0.20907,0.12855,-0.0193,-0.04299,0.02135
Middle East and Northern Africa,Algeria,DZA,88,5.211,32854159,1.002,1.16,0.785,0.086,0.073,0.114,2.43209,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,-0.394,0.06271,0.08228,0.16734,-0.19979,-0.00522,-0.05983
Central and Eastern Europe,Turkmenistan,TKM,87,5.247,4833266,1.052,1.538,0.657,0.394,0.244,0.028,1.86984,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,-0.301,0.09353,0.31132,0.11814,-0.0821,0.07421,-0.28044
Central and Eastern Europe,Kyrgyzstan,KGZ,86,5.261,5203547,0.551,1.438,0.723,0.508,0.3,0.023,2.2327,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,-0.025,0.07672,0.28685,0.07212,0.07323,-0.0003,-0.01932
Sub-Saharan Africa,Nigeria,NGA,85,5.265,141356083,0.696,1.111,0.245,0.426,0.215,0.041,2.89319,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,-0.003,0.04165,0.20668,0.08493,0.08266,-0.05733,0.0007
,North Macedonia,MKD,84,5.274,,0.983,1.294,0.838,0.345,0.185,0.034,,,,,,,,,,,,,,,,
Eastern Asia,Mongolia,MNG,83,5.285,2580704,0.948,1.531,0.667,0.317,0.235,0.038,1.34759,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,0.411,0.11981,0.2304,0.06432,-0.11926,-0.0973,0.01134
Western Europe,Greece,GRC,82,5.287,11099737,1.181,1.156,0.999,0.067,0,0.034,1.80101,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,0.43,0.02694,0.22667,0.11687,-0.00999,0,0.02003
Central and Eastern Europe,Belarus,BLR,81,5.323,9795287,1.067,1.465,0.789,0.235,0.094,0.142,2.1309,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,-0.49,0.03508,0.23211,0.05292,-0.14438,-0.01646,-0.0489
Southeastern Asia,Malaysia,MYS,80,5.339,25652985,1.221,1.171,0.828,0.508,0.26,0.024,1.88541,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,-0.431,0.09614,0.10077,0.10406,-0.02224,-0.07075,-0.08101
Middle East and Northern Africa,Turkey,TUR,79,5.373,72969723,1.183,1.36,0.808,0.195,0.083,0.106,2.08528,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,0.041,0.12202,0.41368,0.07628,-0.03315,-0.03953,-0.05146
Central and Eastern Europe,Bosnia and Herzegovina,BIH,78,5.386,3915238,0.945,1.212,0.845,0.212,0.263,0.006,2.06367,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,0.437,0.11277,0.29284,0.05419,0.11955,0.01492,0.00373
Latin America and Caribbean,Dominican Republic,DOM,77,5.425,9469601,1.015,1.401,0.779,0.497,0.113,0.101,1.21305,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,0.54,0.11963,0.22898,0.11075,-0.07972,-0.10384,-0.04134
Eastern Asia,Hong Kong,HKG,76,5.43,7057418,1.438,1.277,1.122,0.44,0.258,0.287,0.65429,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,-0.044,0.05196,0.21882,0.10872,-0.15608,-0.13678,-0.08424
Central and Eastern Europe,Croatia,HRV,75,5.432,455149,1.155,1.266,0.914,0.296,0.119,0.022,2.75414,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,-0.327,0.07246,0.46976,0.12595,0.03717,0.06456,-0.0023
Central and Eastern Europe,Tajikistan,TJK,74,5.467,6550213,0.493,1.098,0.718,0.389,0.23,0.144,2.11399,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,0.681,0.10253,0.24237,0.14421,-0.08316,0.00026,-0.00672
Central and Eastern Europe,Montenegro,MNE,73,5.523,607969,1.051,1.361,0.871,0.197,0.142,0.08,2.10017,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,0.331,0.07662,0.45543,0.14579,0.0144,-0.0194,-0.06296
Middle East and Northern Africa,Libya,LBY,72,5.525,,1.044,1.303,0.673,0.416,0.133,0.152,2.09066,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,-0.229,-0.08745,0.18438,-0.0308,-0.00068,-0.04995,0.04177
